@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
906,'2017/11/20 19:24:48:931',2,0,0,1,0.227349,0
907,'2017/11/20 19:24:48:951',2,0,0,1,0.227349,0
908,'2017/11/20 19:24:48:971',2,0,0,1,0.227349,0
909,'2017/11/20 19:24:48:991',2,0,0,1,0.227349,0
910,'2017/11/20 19:24:49:011',2,0,0,1,0.227349,0
911,'2017/11/20 19:24:49:031',2,0,0,1,0.227349,0
912,'2017/11/20 19:24:49:051',2,0,0,1,0.227349,0
913,'2017/11/20 19:24:49:071',2,0,0,1,0.227349,0
914,'2017/11/20 19:24:49:091',2,0,0,1,0.227349,0
915,'2017/11/20 19:24:49:111',2,0,0,1,0.227349,0
916,'2017/11/20 19:24:49:131',2,0,0,1,0.227349,0
917,'2017/11/20 19:24:49:151',2,0,0,1,0.227349,0
918,'2017/11/20 19:24:49:171',2,0,0,1,0.227349,0
919,'2017/11/20 19:24:49:191',2,0,0,1,0.227349,0
920,'2017/11/20 19:24:49:211',2,0,0,1,0.227349,0
921,'2017/11/20 19:24:49:231',2,0,0,1,0.227349,0
922,'2017/11/20 19:24:49:251',2,0,0,1,0.227349,0
923,'2017/11/20 19:24:49:271',2,0,0,1,0.227349,0
924,'2017/11/20 19:24:49:291',2,0,0,1,0.227349,0
925,'2017/11/20 19:24:49:311',2,0,0,1,0.227349,0
926,'2017/11/20 19:24:49:331',2,0,0,1,0.227349,0
927,'2017/11/20 19:24:49:351',2,0,0,1,0.227349,0
928,'2017/11/20 19:24:49:371',2,0,0,1,0.227349,0
929,'2017/11/20 19:24:49:391',2,0,0,1,0.227349,0
930,'2017/11/20 19:24:49:411',2,0,0,1,0.227349,0
931,'2017/11/20 19:24:49:431',2,0,0,1,0.227349,0
932,'2017/11/20 19:24:49:451',2,0,0,1,0.227349,0
933,'2017/11/20 19:24:49:471',2,0,0,1,0.227349,0
934,'2017/11/20 19:24:49:491',2,0,0,1,0.227349,0
935,'2017/11/20 19:24:49:511',2,0,0,1,0.227349,0
936,'2017/11/20 19:24:49:531',2,0,0,1,0.227349,0
937,'2017/11/20 19:24:49:551',2,0,0,1,0.227349,0
938,'2017/11/20 19:24:49:571',2,0,0,1,0.227349,0
939,'2017/11/20 19:24:49:591',2,0,0,1,0.227349,0
940,'2017/11/20 19:24:49:611',2,0,0,1,0.227349,0
941,'2017/11/20 19:24:49:631',2,0,0,1,0.227349,0
942,'2017/11/20 19:24:49:651',2,0,0,1,0.227349,0
943,'2017/11/20 19:24:49:671',2,0,0,1,0.227349,0
944,'2017/11/20 19:24:49:691',2,0,0,1,0.227349,0
945,'2017/11/20 19:24:49:711',2,0,0,1,0.227349,0
946,'2017/11/20 19:24:49:731',2,0,0,1,0.227349,0
947,'2017/11/20 19:24:49:751',2,0,0,1,0.227349,0
948,'2017/11/20 19:24:49:771',2,0,0,1,0.227349,0
949,'2017/11/20 19:24:49:791',2,0,0,1,0.227349,0
950,'2017/11/20 19:24:49:811',2,0,0,1,0.227349,0
951,'2017/11/20 19:24:49:831',2,0,0,1,0.227349,0
952,'2017/11/20 19:24:49:851',2,0,0,1,0.227349,0
953,'2017/11/20 19:24:49:871',2,0,0,1,0.227349,0
954,'2017/11/20 19:24:49:891',2,0,0,1,0.227349,0
955,'2017/11/20 19:24:49:911',2,0,0,1,0.227349,0
956,'2017/11/20 19:24:49:931',2,0,0,1,0.227349,0
957,'2017/11/20 19:24:49:951',2,0,0,1,0.227349,0
958,'2017/11/20 19:24:49:971',2,0,0,1,0.227349,0
959,'2017/11/20 19:24:49:991',2,0,0,1,0.227349,0
960,'2017/11/20 19:24:50:011',2,0,0,1,0.227349,0
961,'2017/11/20 19:24:50:031',2,0,0,1,0.227349,0
962,'2017/11/20 19:24:50:051',2,0,0,1,0.227349,0
963,'2017/11/20 19:24:50:071',2,0,0,1,0.227349,0
964,'2017/11/20 19:24:50:091',2,0,0,1,0.227349,0
965,'2017/11/20 19:24:50:111',2,0,0,1,0.227349,0
966,'2017/11/20 19:24:50:131',2,0,0,1,0.227349,0
967,'2017/11/20 19:24:50:151',2,0,0,1,0.227349,0
968,'2017/11/20 19:24:50:171',2,0,0,1,0.227349,0
969,'2017/11/20 19:24:50:191',2,0,0,1,0.227349,0
970,'2017/11/20 19:24:50:211',2,0,0,1,0.227349,0
971,'2017/11/20 19:24:50:231',2,0,0,1,0.227349,0
972,'2017/11/20 19:24:50:251',2,0,0,1,0.227349,0
973,'2017/11/20 19:24:50:271',2,0,0,1,0.227349,0
974,'2017/11/20 19:24:50:291',2,0,0,1,0.227349,0
975,'2017/11/20 19:24:50:311',2,0,0,1,0.227349,0
976,'2017/11/20 19:24:50:331',2,0,0,1,0.227349,0
977,'2017/11/20 19:24:50:351',2,0,0,1,0.227349,0
978,'2017/11/20 19:24:50:371',2,0,0,1,0.227349,0
979,'2017/11/20 19:24:50:391',2,0,0,1,0.227349,0
980,'2017/11/20 19:24:50:411',2,0,0,1,0.227349,0
981,'2017/11/20 19:24:50:431',2,0,0,1,0.227349,0
982,'2017/11/20 19:24:50:451',2,0,0,1,0.227349,0
983,'2017/11/20 19:24:50:471',2,0,0,1,0.227349,0
984,'2017/11/20 19:24:50:491',2,0,0,1,0.227349,0
985,'2017/11/20 19:24:50:511',2,0,0,1,0.227349,0
986,'2017/11/20 19:24:50:531',2,0,0,1,0.227349,0
987,'2017/11/20 19:24:50:551',2,0,0,1,0.227349,0
988,'2017/11/20 19:24:50:571',2,0,0,1,0.227349,0
989,'2017/11/20 19:24:50:591',2,0,0,1,0.227349,0
990,'2017/11/20 19:24:50:611',2,0,0,1,0.227349,0
991,'2017/11/20 19:24:50:631',2,0,0,1,0.227349,0
992,'2017/11/20 19:24:50:651',2,0,0,1,0.227349,0
993,'2017/11/20 19:24:50:671',2,0,0,1,0.227349,0
994,'2017/11/20 19:24:50:691',2,0,0,1,0.227349,0
995,'2017/11/20 19:24:50:711',2,0.165354,0.834646,1,0.227349,0
996,'2017/11/20 19:24:50:731',2,0.165354,0.834646,1,0.227349,0
