@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1,'2017/11/20 19:45:14:835',1,0.004342,0.008199,0.022685,0.015553,0.006348,0.006251,0.004752,0.003158,0.004673,0.002985,0.00203,0.001736,0.001427,0.002199,0.003251,0.001001,0.000834,0.000804,0.000459,0.000499,0.000337,0.000312,0.000239,0.000217,0.000109,1
2,'2017/11/20 19:45:14:839',1,0.010908,0.01708,0.034497,0.020037,0.014565,0.012385,0.005493,0.004006,0.009959,0.01129,0.005642,0.002301,0.010025,0.00798,0.002846,0.002766,0.002007,0.001633,0.000884,0.000588,0.002013,0.00408,0.000296,0.000336,0.00026,1
3,'2017/11/20 19:45:14:858',1,0.010468,0.047432,0.047905,0.041078,0.04118,0.025498,0.006304,0.006665,0.01697,0.018351,0.009128,0.002496,0.020277,0.017301,0.00318,0.005229,0.003692,0.003049,0.001646,0.000649,0.003899,0.00762,0.000466,0.000537,0.000504,1
4,'2017/11/20 19:45:14:858',1,0.010268,0.040777,0.036123,0.028761,0.022986,0.012446,0.007985,0.005809,0.006212,0.004946,0.003595,0.002544,0.007507,0.006303,0.002765,0.001804,0.001267,0.001244,0.000678,0.000661,0.001056,0.001789,0.000269,0.000258,0.000223,1
5,'2017/11/20 19:45:14:881',1,0.006885,0.034983,0.015416,0.019116,0.013822,0.005749,0.006521,0.005026,0.00443,0.002474,0.002173,0.001948,0.00332,0.002373,0.003085,0.000895,0.000848,0.000506,0.000575,0.000532,0.000429,0.000394,0.000227,0.00022,0.000121,1
6,'2017/11/20 19:45:14:881',1,0.005099,0.037819,0.01663,0.019906,0.012233,0.01019,0.005218,0.004097,0.003824,0.002556,0.002641,0.001939,0.001926,0.002952,0.002954,0.0009,0.00089,0.000554,0.000468,0.00059,0.000316,0.00028,0.000218,0.000206,0.0001,1
7,'2017/11/20 19:45:14:904',1,0.006588,0.022957,0.015101,0.010864,0.009729,0.010438,0.008834,0.003533,0.003816,0.002313,0.002527,0.001854,0.001377,0.002287,0.003458,0.0007,0.000755,0.000588,0.000443,0.00051,0.000346,0.000274,0.000222,0.000225,0.000107,1
8,'2017/11/20 19:45:14:904',1,0.003999,0.029352,0.02768,0.025329,0.011677,0.009172,0.007406,0.003764,0.003007,0.002611,0.001205,0.001857,0.001318,0.002668,0.003634,0.000914,0.000647,0.000536,0.000404,0.000415,0.00032,0.000241,0.000227,0.000194,0.000109,1
9,'2017/11/20 19:45:14:927',1,0.003901,0.021873,0.050016,0.020074,0.011573,0.007129,0.004661,0.004174,0.002748,0.001925,0.001475,0.001627,0.001118,0.00293,0.003344,0.00074,0.000704,0.000561,0.000361,0.000452,0.000284,0.000215,0.000201,0.000187,0.000106,1
10,'2017/11/20 19:45:14:928',1,0.004344,0.018288,0.024728,0.014979,0.011087,0.011235,0.004422,0.003541,0.002049,0.001587,0.00191,0.001174,0.000934,0.002225,0.003046,0.000519,0.00084,0.000474,0.00042,0.000466,0.00026,0.000201,0.000185,0.000193,0.00011,1
