@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
1,'2017/11/20 19:51:59:971',2,0.301077,0.655276,0.492066,0.293468,1
2,'2017/11/20 19:51:59:991',2,0.298786,0.664688,0.489275,0.311663,1
3,'2017/11/20 19:52:00:011',2,0.29972,0.65215,0.489419,0.297666,1
4,'2017/11/20 19:52:00:031',2,0.302563,0.628649,0.491174,0.268027,1
5,'2017/11/20 19:52:00:051',2,0.308182,0.589511,0.49496,0.220323,1
6,'2017/11/20 19:52:00:071',2,0.312354,0.562027,0.497364,0.188102,1
7,'2017/11/20 19:52:00:091',2,0.316712,0.533263,0.500164,0.156631,1
8,'2017/11/20 19:52:00:111',2,0.322122,0.497541,0.503892,0.122823,1
9,'2017/11/20 19:52:00:131',2,0.332338,0.42948,0.511129,0.087448,1
10,'2017/11/20 19:52:00:151',2,0.336031,0.399265,0.514133,0.089305,1
11,'2017/11/20 19:52:00:171',2,0.340194,0.363055,0.517635,0.105872,1
12,'2017/11/20 19:52:00:191',2,0.33944,0.341348,0.519567,0.120887,1
13,'2017/11/20 19:52:00:211',2,0.336507,0.338148,0.519882,0.122485,1
14,'2017/11/20 19:52:00:231',2,0.333712,0.330708,0.520814,0.127781,1
15,'2017/11/20 19:52:00:251',2,0.326536,0.331987,0.520733,0.124214,1
16,'2017/11/20 19:52:00:271',2,0.321664,0.330649,0.521188,0.123849,1
17,'2017/11/20 19:52:00:291',2,0.311968,0.356869,0.518475,0.102427,1
18,'2017/11/20 19:52:00:311',2,0.297677,0.414457,0.511503,0.087635,1
19,'2017/11/20 19:52:00:331',2,0.26907,0.557589,0.492416,0.214593,1
20,'2017/11/20 19:52:00:351',2,0.255515,0.612263,0.483879,0.292361,1
21,'2017/11/20 19:52:00:371',2,0.242508,0.67192,0.47343,0.382146,1
